大陆,#genre#
CCTV中国中央电视台-3 综艺,http://117.169.120.140:8080/live/cctv-3/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-3/1.m3u8#http://39.135.32.29:6610/000000001000/1000000001000011218/index.m3u8?i#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
HRB哈尔滨网络广播电视 娱乐,http://111.40.205.87/PLTV/88888888/224/3221225759/index.m3u8
IPTV相声小品,http://117.156.28.119/270000001111/1110000112/index.m3u8
NewTV未来电视 金牌综艺,http://111.40.205.76/PLTV/88888888/224/3221225666/index.m3u8
NewTV未来电视 金牌综艺 (Backup),http://121.31.30.90:8085/ysten-business/live/saishijx/1.m3u8
TVBS歡樂台,http://220.158.149.14:9999/live/TV00000000000000000079@HHZT;LIVE
緯來精采台,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8

体育,#genre#
CCTV中国中央电视台-5 体育,http://111.40.205.107/PLTV/88888888/224/3221225711/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226400/index.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8#http://39.135.32.24:6610/000000001000/1000000001000004794/index.m3u8?i
CCTV中国中央电视台-5+ 体育赛事,http://111.40.205.87/PLTV/88888888/224/3221225689/index.m3u8#http://121.31.30.90:8085/ysten-business/live/hdcctv05plus/yst.m3u8#http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
IPTV5+,http://117.156.28.119/270000001111/1110000054/index.m3u8
NewTV未来电视 精品体育,http://121.31.30.90:8085/ysten-business/live/jtiyu/1.m3u8
NewTV未来电视 超级体育,http://111.40.205.107/PLTV/88888888/224/3221225715/index.m3u8
百视通 BesTV超级体育,http://39.134.52.180/PLTV/88888888/224/3221225883/index.m3u8
百视通 BesTV超级体育 (Backup),http://39.134.52.180/wh7f454c46tw3571653152_-2066612672/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226023/index.m3u8
緯來體育台,http://220.158.149.14:9999/live/TV00000000000000000078@HHZT;LIVE

电影,#genre#
CCTV中国中央电视台-6 电影,http://117.169.120.140:8080/live/cctv-6/.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-6/1.m3u8#http://39.135.32.27:6610/000000001000/1000000001000001737/index.m3u8?i#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CHC高清电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
HRB哈尔滨网络广播电视 影视,http://111.40.205.87/PLTV/88888888/224/3221225760/index.m3u8
黑莓电影,http://121.31.30.90:8085/ysten-business/live/jdianying/1.m3u8
黑莓电影 (Backup),http://111.40.205.76/PLTV/88888888/224/3221225667/index.m3u8

记实,#genre#
